query_id,user_id,timestamp,device_type,query_text,language,intent,location,query_duration_sec,num_words,is_successful,confidence_score,device_os_version
1,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2025-04-17 19:27:32,smartphone,How tall is the Eiffel Tower?,Spanish,information,Los Angeles,5.99,6.0,False,0.87,
2,bc8960a9-23b8-41e9-b924-56de3eb13b90,2025-02-09 19:19:27,smartphone,Track my Amazon order,English,shopping,New York,4.72,4.0,True,0.61,
3,8b9d2434-e465-4150-bd9c-66b3ad3c2d6d,2025-02-03 18:19:43,car assistant,Define artificial intelligence,Spanish,information,Paris,6.3,3.0,True,0.71,Android 10
4,07a0ca6e-0822-48f3-ac03-1199972a8469,2025-02-06 09:18:10,car assistant,Set an alarm for 7 AM,Spanish,command,Paris,8.05,6.0,True,0.67,iOS 15
5,9a1de644-815e-46d1-bb8f-aa1837f8a88b,2025-01-11 07:19:59,smart speaker,Set an alarm for 7 AM,English,command,Delhi,4.53,6.0,True,0.68,Android 11
6,a65ed389-b74d-4fb1-b2e7-06298fadc1a6,2025-06-12 22:12:29,car assistant,Set an alarm for 7 AM,Hindi,command,Shanghai,4.53,6.0,True,0.99,Android 10
7,47378190-96da-4dac-b2ff-5d2a386ecbe0,2025-01-03 12:34:22,smartphone,Buy new headphones,French,shopping,Tokyo,8.16,3.0,,0.79,iOS 14
8,b2b9437a-28df-4ec4-8e4a-2bbdc241330b,2025-06-14 03:03:06,smartphone,How to get to Central Park,English,navigation,Tokyo,6.53,6.0,False,0.93,Android 10
9,371ecd7b-27cd-4130-8722-9389571aa876,2025-05-11 17:17:18,smartwatch,Show me comedy shows,Spanish,entertainment,London,4.06,4.0,,0.6,Android 11
10,18c26797-6142-4a7d-97be-31111a2a73ed,2025-05-20 09:55:49,smartphone,Find nearby clothing stores,French,shopping,Paris,6.09,4.0,False,0.58,Android 10
11,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,2025-01-17 20:59:14,smartwatch,Find nearby clothing stores,Mandarin,shopping,Tokyo,4.07,4.0,True,0.61,iOS 14
12,1ff49b78-8946-4e85-b59c-de66bacfb3d0,2025-05-28 00:11:46,smartwatch,Show me comedy shows,English,entertainment,Los Angeles,4.07,4.0,True,0.94,Android 11
13,d453dd32-4b0d-4b41-8d52-88f1142c3fe8,2025-05-21 10:40:57,smart speaker,Recommend a podcast,Hindi,entertainment,Los Angeles,5.48,3.0,,0.57,
14,11ce5dd2-b45e-41f0-b139-d32c93cd59bf,2025-01-18 19:06:51,car assistant,Open the calendar,Hindi,command,Shanghai,1.17,3.0,True,0.68,iOS 15
15,4a15544d-c5e7-4e8a-ba57-8a8ea9488d99,2025-01-31 23:42:54,car assistant,Play latest movie trailers,English,entertainment,Tokyo,1.55,4.0,True,0.58,iOS 15
16,19db3ad0-ddd1-4fb2-bb98-2ef8daf61a26,2025-05-28 15:01:59,tablet,Order me a pizza,Hindi,shopping,Delhi,3.88,4.0,True,1.0,
17,d58842de-a2bc-472f-b412-b29347294739,2025-05-22 16:28:56,smartwatch,Order me a pizza,English,shopping,Paris,2.97,4.0,True,0.88,Android 11
18,35a240ae-5af3-4553-9ec4-2e0829a3b2e9,2025-04-14 16:24:49,smartphone,Call Mom,Spanish,command,Delhi,5.63,2.0,True,0.98,Android 11
19,a5e5a5ab-aefc-4ad8-afc8-9849b3aa7efe,2025-01-28 17:31:10,car assistant,Route to home,English,navigation,Tokyo,3.18,3.0,,0.92,
20,88bd6407-2bcf-4e01-a28d-efe39bf00273,2025-04-06 01:48:11,car assistant,Find nearest coffee shop,Mandarin,navigation,Tokyo,2.18,4.0,False,0.77,
21,451b4cf3-6123-4df7-b656-af7229d4beef,2025-03-27 06:57:42,smartphone,Buy new headphones,Hindi,shopping,New York,7.93,3.0,True,0.96,Android 11
22,c4b032cc-d7c5-44a5-9304-317faf42e12f,2025-01-22 17:22:46,smart speaker,Who won the game last night?,French,information,New York,4.55,6.0,True,0.87,iOS 14
23,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2025-05-03 12:14:07,car assistant,Find nearest coffee shop,Hindi,navigation,Shanghai,5.14,4.0,False,0.63,
24,3602f8ac-10f1-4c81-848a-aa9e66b2bc5b,2025-05-03 05:00:37,tablet,Route to home,Spanish,navigation,Paris,2.15,3.0,,0.7,Android 11
25,654821d0-7fcd-4eb1-a7ca-d415366eb16f,2025-06-28 04:48:33,tablet,Track my Amazon order,English,shopping,Los Angeles,3.91,4.0,False,0.53,iOS 14
26,3f22faf8-23be-401d-83cf-2fde24933b83,2025-07-29 07:37:56,car assistant,Find nearby clothing stores,French,shopping,Los Angeles,5.22,4.0,True,0.54,iOS 14
27,6dadd6c7-95a7-4d79-bf3c-4c06434308bc,2025-06-05 02:40:57,smart speaker,What's the weather like today?,Mandarin,information,New York,2.7,5.0,True,0.62,Android 10
28,ff5e9ff0-ff50-4de4-b825-67b85cabcc97,2025-02-23 17:20:43,smart speaker,Find nearby clothing stores,French,shopping,Shanghai,5.75,4.0,True,0.62,Android 10
29,c17af08a-1745-46d8-be57-0ddf827050a8,2025-01-19 07:09:23,tablet,Directions to nearest gas station,English,navigation,Paris,3.8,5.0,True,0.68,Android 10
30,a0a04dc4-2720-4bdf-9c11-f735dc713d96,2025-03-04 03:08:25,tablet,What's the weather like today?,English,information,Delhi,4.42,5.0,,0.9,iOS 14
31,98ae4334-6c12-4ce8-ae34-0454cac5b68c,2025-01-25 16:07:16,smart speaker,Find nearest coffee shop,French,navigation,Delhi,3.8,4.0,False,0.71,Android 11
32,ff01cf99-988c-44c9-a1b1-cd2262801c45,2025-07-01 18:32:28,tablet,Directions to nearest gas station,Hindi,navigation,Tokyo,8.7,5.0,True,0.55,
33,8da0365b-f898-47b9-805c-acec877409a9,2025-01-05 11:00:39,smartphone,Who won the game last night?,Spanish,information,Delhi,4.97,6.0,True,0.74,Android 10
34,ae849217-1d53-434b-b881-39b9ae270da7,2025-07-28 12:55:34,smartphone,Navigate to airport,English,navigation,Delhi,2.88,3.0,,0.96,Android 10
35,a4161293-c4c2-42e3-844e-a7c8c0398710,2025-05-13 02:39:54,smartwatch,What's trending on Netflix?,Hindi,entertainment,Los Angeles,6.65,4.0,False,0.65,iOS 14
36,287d06ca-6f4c-469a-8b22-d3081c8eaee9,2025-06-26 05:00:41,car assistant,Order me a pizza,Mandarin,shopping,New York,2.56,4.0,True,0.79,
37,e037e5ed-b8db-4672-b42d-47cc00d4af59,2025-04-13 06:57:49,car assistant,Directions to nearest gas station,French,navigation,New York,5.42,5.0,False,0.53,iOS 14
38,2dbc2134-c30f-446e-8026-695ff8cda88b,2025-07-17 03:56:10,smart speaker,Play latest movie trailers,French,entertainment,Los Angeles,1.08,4.0,True,0.8,
39,a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,2025-04-26 21:42:25,smartphone,What's trending on Netflix?,French,entertainment,Shanghai,2.34,4.0,,0.97,iOS 15
40,9be578c7-81f6-41d4-a392-31a7d777a477,2025-03-19 05:59:09,smartwatch,How to get to Central Park,Hindi,navigation,Los Angeles,5.39,6.0,,0.73,iOS 14
41,295b4715-c333-4861-9fb8-d16c2720797d,2025-07-29 11:22:36,smartphone,What's trending on Netflix?,French,entertainment,New York,6.48,4.0,True,0.77,
42,87c5421e-ec24-43c5-8754-108ff4188f3f,2025-01-01 05:19:49,smartwatch,How to get to Central Park,English,navigation,Los Angeles,5.34,6.0,,0.64,Android 10
43,04fc6d82-7d15-4385-92fb-e43b99546eb4,2025-02-13 10:40:57,car assistant,Open the calendar,French,command,New York,4.77,3.0,True,0.65,iOS 14
44,fc3e058b-e0f3-4ab0-9cec-4eb5edd96831,2025-04-30 10:14:21,smart speaker,Set an alarm for 7 AM,English,command,Paris,4.4,6.0,True,0.58,Android 11
45,e0c53cb8-3da9-42a9-8ed4-2f1a3d4cbf37,2025-01-31 14:04:08,car assistant,How to get to Central Park,Spanish,navigation,Paris,2.04,6.0,,0.75,Android 11
46,d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,2025-01-27 21:06:26,smartphone,Tell me news headlines,Mandarin,information,New York,3.56,4.0,True,0.67,iOS 15
